metric,mem_percent,k,f1_macro_val,precision_macro_val,recall_macro_val,n_mem
cosine,0.05,33,0.4563031709203403,0.41963015647226176,0.5,164
cosine,0.05,35,0.4563031709203403,0.41963015647226176,0.5,164
cosine,0.05,37,0.4563031709203403,0.41963015647226176,0.5,164
cosine,0.05,39,0.4563031709203403,0.41963015647226176,0.5,164
cosine,0.05,41,0.4563031709203403,0.41963015647226176,0.5,164
cosine,0.05,43,0.4563031709203403,0.41963015647226176,0.5,164
cosine,0.05,45,0.4563031709203403,0.41963015647226176,0.5,164
cosine,0.05,47,0.4563031709203403,0.41963015647226176,0.5,164
cosine,0.05,49,0.4563031709203403,0.41963015647226176,0.5,164
cosine,0.05,51,0.4563031709203403,0.41963015647226176,0.5,164
chebyshev,0.05,1,0.6473553501529554,0.6652728470519342,0.6354657267136643,164
chebyshev,0.05,3,0.6240982417980787,0.6668778747770581,0.6066596670166491,164
chebyshev,0.05,5,0.5551740591676694,0.6218591113403582,0.549610019499025,164
chebyshev,0.05,7,0.5534966125869138,0.6679371738463112,0.5492350382480876,164
chebyshev,0.05,9,0.5380643950061016,0.6871247032537355,0.540197990100495,164
chebyshev,0.05,11,0.5380643950061016,0.6871247032537355,0.540197990100495,164
chebyshev,0.05,13,0.5391089664459656,0.7003294289897511,0.5410454477276136,164
chebyshev,0.05,15,0.5263062045856022,0.7055585880640466,0.533890805459727,164
chebyshev,0.05,17,0.5038938329430133,0.672575976845152,0.5214639268036598,164
chebyshev,0.05,19,0.48839436188141566,0.643691962856228,0.5134618269086546,164
chebyshev,0.05,21,0.4624546397096942,0.49096880131362886,0.4993400329983501,164
chebyshev,0.05,23,0.4546159813809154,0.41917024320457796,0.4966101694915254,164
chebyshev,0.05,25,0.47440137406122657,0.920827389443652,0.5088495575221239,164
chebyshev,0.05,27,0.45588235294117646,0.41951566951566954,0.49915254237288137,164
chebyshev,0.05,29,0.4563031709203403,0.41963015647226176,0.5,164
chebyshev,0.05,31,0.4563031709203403,0.41963015647226176,0.5,164
chebyshev,0.05,33,0.4563031709203403,0.41963015647226176,0.5,164
chebyshev,0.05,35,0.4563031709203403,0.41963015647226176,0.5,164
chebyshev,0.05,37,0.4563031709203403,0.41963015647226176,0.5,164
chebyshev,0.05,39,0.4563031709203403,0.41963015647226176,0.5,164
chebyshev,0.05,41,0.4563031709203403,0.41963015647226176,0.5,164
chebyshev,0.05,43,0.4563031709203403,0.41963015647226176,0.5,164
chebyshev,0.05,45,0.4563031709203403,0.41963015647226176,0.5,164
chebyshev,0.05,47,0.4563031709203403,0.41963015647226176,0.5,164
chebyshev,0.05,49,0.4563031709203403,0.41963015647226176,0.5,164
chebyshev,0.05,51,0.4563031709203403,0.41963015647226176,0.5,164
euclidean,0.15000000000000002,1,0.7078733613498087,0.7183234104141312,0.6991075446227689,492
euclidean,0.15000000000000002,3,0.6655198916663616,0.7250542560887389,0.63998800059997,492
euclidean,0.15000000000000002,5,0.646379996581447,0.7350968923549568,0.6193715314234288,492
euclidean,0.15000000000000002,7,0.6738307266332411,0.7938613231552163,0.6385780710964453,492
euclidean,0.15000000000000002,9,0.6311802232854864,0.7678212851405622,0.6040272986350682,492
